title:18, start timestamp:1614562225.258218, stop timestamp:1614562270.691163, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:s15, channels:75, sampling rate:128, samples:5862      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.TP10,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.TP9,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.TP10,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall
1614562225.258218,32.000000,0.000000,9.382581,7.959714,-51.782833,-1.776818,0.970835,1.194942,12.589117,9.932381,-12.796994,7.025345,22.551105,10.926405,22.314337,22.815754,16.620861,29.585712,18.066288,37.943027,46.409145,30.286880,35.771412,8.963470,34.112400,42.522591,-2.407380,22.335526,0.337678,12.498114,4.541314,9.406007,-1.378958,51.833290,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614562225.265867,33.000000,0.000000,10.911659,8.464575,-53.269512,-9.467349,-0.568597,3.245029,12.063707,8.383986,-15.348299,6.505499,27.143938,13.992402,25.881765,30.485245,16.604240,28.530487,22.663607,32.776878,44.311451,30.256594,41.376667,9.980147,36.642391,43.505711,1.184771,15.133702,1.362981,12.998436,8.126516,10.422242,-3.941682,47.166073,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614562225.273616,34.000000,0.000000,8.336645,6.917648,-55.780346,-21.252754,-2.619311,5.293066,12.564465,8.375603,-16.358593,8.037456,29.680897,17.055332,25.855885,28.916298,16.587635,30.040417,21.615303,29.154360,42.215858,30.226337,33.642982,9.457347,37.631390,41.410923,-1.893337,10.503184,0.335977,12.985438,7.605569,8.360538,-9.065946,43.529163,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614562225.281265,35.000000,0.000000,1.148821,4.346628,-58.288670,-23.282784,-3.642333,2.723670,9.474977,6.828765,-16.342234,3.926854,25.035831,4.217764,19.676182,10.938663,17.083868,25.394993,10.311636,26.561102,31.917233,29.170469,19.250364,-0.295700,30.414268,27.523357,-11.122212,10.492681,-6.331026,10.408350,7.085143,7.326536,-15.723546,41.947174,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614562225.289114,36.000000,0.000000,-4.493353,3.829461,-61.820122,-20.695398,-3.125870,-2.407259,3.311656,-3.434474,-17.864353,-7.359125,9.626181,-8.094146,4.784711,-3.431249,10.912938,8.959341,-3.032009,11.149926,10.859675,18.884890,10.000345,-9.526174,21.665907,5.957372,-22.905962,5.353983,-18.119566,3.731275,6.052417,2.191005,-25.964233,27.033432,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614562225.296863,37.000000,0.000000,-5.514501,4.851273,-64.835228,-23.751625,-3.122744,-3.430492,-1.307041,-11.636168,-20.410591,-13.505611,-8.332164,-6.547590,-8.040586,-4.453459,-0.892846,-6.434234,-11.746926,-6.297121,-8.125544,-0.621175,0.246755,-11.055109,13.439113,-8.920381,-29.549723,-0.805217,-25.280933,-2.426302,3.482262,-5.503494,-33.117756,12.134604,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614562225.304712,38.000000,0.000000,-4.996166,3.820781,-67.334496,-26.291977,-3.119621,-2.914241,-2.844195,-9.573249,-20.390181,-11.440824,-16.016140,-11.156427,-9.058187,-4.961826,-6.532979,-10.017543,-14.299281,-10.906209,-13.758444,-14.466707,-10.522722,-8.992772,5.220545,-14.039665,-29.007353,-0.804412,-25.768473,-2.936697,3.478779,-5.497991,-34.110279,14.173751,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614562225.312461,39.000000,0.000000,-6.016811,4.329780,-67.779976,-25.752863,-3.116501,-2.911327,-3.866992,-6.999573,-20.882610,-11.429383,-17.025764,-23.965784,-8.536308,-9.572248,-6.013626,-9.494705,-15.310623,-10.382482,-13.744685,-18.041985,-16.153225,-10.522241,1.112760,-18.128189,-28.978346,0.222034,-23.691423,-2.420939,3.475301,0.148533,-32.024887,19.800602,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614562225.320310,40.000000,0.000000,-5.497973,4.838271,-62.583996,-24.701469,-3.113385,-3.421236,-3.863125,-7.505394,-19.323267,-12.956415,-17.521559,-16.249510,-10.579054,-9.562676,-6.007612,-9.485210,-15.808133,-11.397740,-14.243761,-15.972660,-15.624251,-11.537359,1.111648,-19.135702,-29.462187,-0.291009,-21.616449,-2.418519,3.471825,2.712487,-26.864656,20.806442,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614562225.328059,41.000000,0.000000,-4.979655,2.782151,-59.957310,-25.702410,-3.110271,-2.904994,-2.833621,-7.497889,-17.252661,-11.404997,-10.837371,0.689816,-5.953090,-6.476191,-6.514425,-5.373161,-10.151299,-9.847881,-13.203876,-15.956688,-10.480422,-6.397617,1.110536,-12.449901,-28.919905,-0.290718,-21.594833,-2.416100,3.468354,1.684134,-26.837791,20.272816,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
