title:4, start timestamp:1614473146.010773, stop timestamp:1614473191.922817, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:s13, channels:75, sampling rate:128, samples:5922      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.TP10,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.TP9,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.TP10,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall
1614473146.010773,8.000000,0.000000,3.220265,-4.102731,-12.103704,69.059525,21.568975,12.918841,22.932922,39.911129,13.535792,38.607002,6.754488,5.958818,13.031568,3.034903,27.323864,14.258011,11.344867,-19.057102,20.605856,0.564670,2.325677,-1.617802,11.215493,-35.068115,-12.557106,-15.541539,-13.977596,8.065740,1.564021,-11.999923,-27.998125,-82.598503,0.000000,195.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614473146.018622,9.000000,0.000000,3.729865,-4.098629,-33.630062,47.964825,13.855098,10.854640,12.653579,35.255833,-3.400820,33.440189,-12.226625,6.465680,9.941613,-3.121979,26.270899,0.397599,8.769420,-39.550865,-7.107058,-13.794869,-11.009982,-17.513620,-7.257260,-48.366383,-29.467627,-15.013177,-25.758490,-0.660275,-1.514466,-13.526384,-44.893204,-103.028725,0.000000,195.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614473146.026372,10.000000,0.000000,1.162033,-4.094530,-53.083611,29.455320,6.148935,9.818145,11.102464,21.374422,-16.217932,29.304184,-2.470809,5.433574,9.931671,-1.067574,27.270269,-0.628439,7.222188,-34.895931,1.617998,-13.781075,-14.075895,-15.444824,-19.557695,-43.189812,-29.438158,-14.998164,-25.732731,-7.839102,-2.538593,-16.589781,-47.412411,-112.156464,0.000000,187.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614473146.034221,11.000000,0.000000,-0.890411,-4.090436,-42.774117,40.195095,9.219709,6.218583,12.117002,21.353046,-7.483766,29.274879,6.762431,5.940960,7.870458,-0.553686,26.217358,0.397830,2.086761,-33.835392,2.642021,-12.741652,-13.548999,-4.660149,-15.948394,-43.659443,-23.254875,-16.521627,-24.168537,-6.805622,-2.023233,-15.034730,-35.057308,-96.659691,0.000000,178.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614473146.041970,12.000000,0.000000,4.238684,-4.086345,-29.910831,54.001057,11.261772,2.622621,12.617706,31.075283,-1.835256,30.271246,6.755669,9.011943,10.426690,3.549432,27.729603,3.987176,5.674418,-33.288738,0.588097,-13.754552,-11.484167,-2.604207,-13.368343,-40.538860,-25.795721,-18.556387,-25.682831,-4.234714,-2.534031,-9.891490,-28.868404,-91.434830,0.000000,168.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614473146.049619,13.000000,0.000000,10.901113,-4.082259,-35.009125,51.382950,9.712049,4.671280,17.220472,33.608311,-4.910344,32.292255,17.518143,12.079854,20.672672,9.699728,32.830078,10.137035,15.412333,-24.537500,18.536226,-12.715157,-6.857299,-1.575961,-12.329334,-25.113705,-26.795567,-18.537830,-22.580225,-2.179197,-2.018676,-8.343137,-35.506203,-110.830574,0.000000,193.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614473146.057368,14.000000,0.000000,10.890211,-3.565356,-47.794628,42.100800,9.702336,4.153788,19.767355,29.472139,-4.392613,32.772785,25.705753,13.093415,20.139179,10.715670,34.848530,10.639718,17.448202,-21.948860,17.492050,-13.215261,-6.337621,5.605102,-4.111876,-20.473206,-18.563644,-18.519293,-14.352516,1.925547,0.547445,-7.821973,-32.393772,-114.309486,0.000000,190.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614473146.065017,15.000000,0.000000,9.853680,-3.048970,-53.387859,36.930492,11.231095,3.123993,19.234768,29.442667,-2.849759,32.740013,23.115946,14.105963,10.375451,10.192133,33.788040,14.731643,15.892293,-25.516655,-5.089545,-7.048200,-3.767181,12.778984,0.507620,-21.991196,-10.339952,-17.475134,-8.697138,5.000544,2.598180,-4.224408,-14.412662,-99.836197,0.000000,163.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614473146.072766,16.000000,0.000000,11.382288,-5.610023,-51.283192,39.970486,10.194223,8.249075,18.702711,34.028610,-2.846909,35.271374,26.682573,16.655960,9.852255,10.181941,34.267071,27.024603,16.902042,-20.362932,5.171955,10.907566,7.518638,13.791846,-0.005708,-10.174332,-10.329612,-18.483299,-10.739723,4.995543,2.082761,-5.758645,-16.449532,-111.531235,0.000000,187.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614473146.080415,17.000000,0.000000,9.832444,-7.142875,-58.411392,42.494617,10.184030,7.728005,19.196829,31.943298,-5.408165,37.287384,30.245634,17.152124,13.432146,10.684580,36.796909,35.202705,17.397961,-8.547698,37.987297,21.665890,13.664966,12.752413,4.609683,0.092253,-11.344923,-25.131483,-11.241804,3.964907,0.542217,-12.419553,-33.356159,-133.470993,0.000000,192.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
