title:17, start timestamp:1614075055.957957, stop timestamp:1614075101.901572, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:s07, channels:75, sampling rate:128, samples:5930      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.AF3,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO3,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO4,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.AF4,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.AF3,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO3,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO4,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.AF4,CQ.Fp2,CQ.Overall
1614075055.957957,123.000000,0.000000,9.839901,6.285087,18.186451,7.252850,7.857425,9.588874,6.597953,7.477309,6.584492,6.486329,9.526169,3.980317,40.073704,19.667410,24.795885,48.234455,39.742542,-80.229408,-95.155319,26.598223,11.721658,37.732544,23.823988,34.374920,34.612091,21.658340,32.380417,17.343555,2.701928,28.296947,17.419237,18.084576,8192.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1614075055.965807,124.000000,0.000000,8.804420,6.278802,18.168264,7.245596,6.311107,11.630568,8.129816,14.136498,7.090727,1.351638,6.439719,6.540439,32.341324,2.724666,21.694166,43.570835,39.702801,-96.559441,-105.829391,25.033163,11.709936,38.720451,21.236061,36.904648,26.885172,20.611042,26.194193,15.787750,2.186405,22.627625,17.401819,17.553671,8192.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1614075055.973556,125.000000,0.000000,5.718692,6.272523,18.150095,7.751172,4.253513,9.054834,6.583225,7.968515,4.519534,1.863106,0.279434,2.944155,5.642315,-19.329340,3.210933,22.501625,23.765661,-127.744926,-138.031250,16.290180,5.031559,18.681732,14.548159,31.739538,21.730082,16.487867,13.860306,13.207860,2.184219,15.938330,17.384417,18.048939,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1614075055.981405,126.000000,0.000000,5.200153,7.291892,18.644766,7.743420,3.736439,6.994497,4.525360,-5.885607,-0.100370,-7.882347,-5.361872,-3.725456,-14.363327,-27.002319,-11.151253,-9.828569,9.895741,-148.130005,-160.457321,5.504660,-0.101677,-0.824130,7.866944,17.861645,16.067326,8.779071,12.307983,13.707473,2.694855,15.922391,17.367033,18.543709,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1614075055.989154,127.000000,0.000000,5.707774,9.848702,17.087660,6.197216,4.245523,7.500323,3.495193,-9.469464,-1.125911,-11.464208,-7.920612,-5.260192,-17.938707,-26.975317,-11.140101,-27.254639,2.706358,-148.494690,-153.117386,-4.244435,-0.614396,-6.464331,1.192410,2.459167,9.384592,2.616446,10.244393,14.206586,0.640878,16.419289,17.349665,15.961063,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1614075055.996804,0.000000,0.000000,4.676425,10.864494,11.429546,4.139736,4.241278,7.492823,4.517339,-3.306149,-0.611964,0.854949,-3.297307,-5.767752,-13.305385,-20.794495,-12.154602,-17.483793,-4.988656,-148.346207,-144.759140,-12.958138,-3.690705,-12.611713,-10.090834,-10.876625,7.323926,0.562547,1.516201,13.679559,-1.411045,13.838768,17.332315,11.329718,0.000000,192.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1614075056.004553,1.000000,0.000000,6.210210,10.340810,7.315553,3.622776,3.724216,6.972510,6.564104,3.363824,-1.124173,5.469479,9.013682,-3.710702,4.143818,-2.312162,-7.527063,8.687536,1.170179,-138.454269,-145.640015,-8.842617,-3.687014,-11.060640,-10.593563,-12.917031,8.342243,2.613267,1.001864,13.153059,-1.409634,11.773646,17.314983,9.779926,0.000000,203.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1614075056.012203,2.000000,0.000000,11.332205,10.330469,6.282597,4.131974,3.720492,6.965537,7.583181,7.463024,-1.123049,5.464009,17.209797,6.036598,25.678137,13.074765,15.557387,38.935261,19.117727,-106.008118,-124.981560,8.089303,7.598724,14.078626,7.878569,-1.109242,8.333900,6.713218,10.744452,13.652726,-1.408224,12.274693,17.297668,10.795788,0.000000,203.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1614075056.019952,3.000000,0.000000,13.372154,10.320138,4.737852,4.127841,4.229592,7.471392,8.088418,7.455561,-1.121925,13.663673,17.192587,13.722869,32.319126,14.087332,28.362343,54.793758,27.303738,-79.235443,-92.036064,18.337624,16.309074,33.038906,19.152742,10.173919,8.325567,9.270607,17.400373,13.639073,-1.406816,12.775239,17.280371,10.272171,0.000000,182.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1614075056.027601,4.000000,0.000000,12.845962,10.309818,2.681832,4.123714,4.225362,6.951100,6.541868,7.448105,-0.607983,10.573087,14.611292,12.170685,30.748344,12.021962,16.539108,54.738964,25.737972,-79.156212,-92.969666,18.319286,15.267124,22.749456,10.415640,11.189385,8.830062,9.261336,15.331692,13.625435,-1.405409,11.736823,17.263090,10.261899,0.000000,193.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
