title:3, start timestamp:1614073978.001607, stop timestamp:1614074023.868927, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:s07, channels:75, sampling rate:128, samples:5920      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.AF3,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO3,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO4,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.AF4,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.AF3,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO3,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO4,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.AF4,CQ.Fp2,CQ.Overall
1614073978.001607,28.000000,0.000000,16.642960,-15.151829,7.377737,-0.009535,4.295623,-1.271721,-3.644525,14.024069,-2.139260,9.579397,18.729895,4.257579,15.594583,-2.095917,-42.894798,-9.604383,39.670158,-18.075846,-15.867191,27.782053,-34.306652,-3.196562,20.462215,17.695707,17.921343,14.667654,5.626446,-1.089964,-8.250463,11.254566,-2.220642,10.574860,0.000000,190.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614073978.009256,29.000000,0.000000,18.677597,-5.393088,8.396001,3.580218,0.701584,-2.296090,-3.128060,6.830558,-5.214044,-5.301977,4.352190,-28.054371,-1.856910,-10.298950,-36.698055,-15.235804,28.348436,-22.673155,-35.851326,4.164527,-30.682602,-7.808751,12.236625,6.395960,11.236754,13.627345,7.672102,-1.088874,-8.242213,5.602286,2.909783,10.564284,0.000000,146.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614073978.017005,30.000000,0.000000,9.428151,-2.310771,6.336322,2.038176,-9.555528,-6.909178,-6.201855,-5.996786,-5.721650,-36.065907,-19.754726,-38.282726,-31.085823,-32.339931,-56.148537,-39.835953,0.627779,-33.419712,-48.635986,-4.557586,-57.831406,-31.903505,-0.083304,2.287000,3.020389,2.331667,6.125968,-1.087785,-8.233972,3.545401,5.470976,10.553720,0.000000,203.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614073978.024655,31.000000,0.000000,-4.427431,-3.334102,1.201781,2.036138,-13.135715,-9.979192,-10.298217,-11.631815,-9.305672,-33.978558,-30.504202,-5.936752,-44.900890,-54.358875,-88.400085,-72.103806,-16.295925,-56.976036,-55.254017,-9.168413,-73.158188,-53.922886,-8.801169,-4.381954,0.966087,-5.875793,-7.213491,-1.086697,-8.225738,4.054677,4.952685,9.004705,0.000000,184.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614073978.032504,32.000000,0.000000,-6.987106,-3.330768,0.687759,3.059743,-6.968734,-6.892290,-11.313560,-8.030439,-5.706623,-1.124066,-15.089083,-13.110302,-27.420092,-32.766056,-86.773224,-68.441963,-16.279629,-53.329315,-52.634659,-38.902836,-55.136314,-57.971527,-16.997496,-17.710905,4.042044,-5.869917,-14.385765,-1.085610,-8.217511,4.563442,4.434911,7.457239,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614073978.040253,33.000000,0.000000,-2.364734,-2.814616,4.276814,3.569504,-3.372022,-2.782834,-6.686862,-0.842921,5.581135,20.928341,4.926007,-38.738216,-4.315749,0.087224,-53.865936,-35.553005,-14.724888,-37.378551,-58.223053,-66.043419,-61.747845,-65.093040,-23.134346,-23.334221,1.986720,-4.838407,-12.320097,-1.084525,-8.209294,5.071699,5.968938,6.936961,8192.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614073978.048102,34.000000,0.000000,-2.362370,-3.324622,2.221256,2.540293,-4.394290,-0.728769,-1.551970,5.311768,9.165298,17.830488,13.126209,-20.237942,3.893695,7.266624,-38.427452,-21.671299,-15.735805,-34.777069,-58.677650,-53.669682,-90.404045,-74.771538,-24.136852,-22.798065,-0.579370,-4.833568,-12.820598,-1.083440,-8.201085,3.528166,4.937328,7.442844,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614073978.055852,35.000000,0.000000,-2.872828,-3.321298,0.167752,0.486471,-2.851435,-1.240860,-5.140162,4.280815,4.027927,17.812658,13.625903,1.320759,5.428263,9.823461,-43.004410,-25.752192,-15.720069,-37.306396,-38.618973,-38.744217,-70.826462,-61.363434,-23.087074,-28.929113,9.164800,-0.726170,-12.807776,-1.082357,-8.192883,5.063099,0.317006,8.461042,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614073978.063701,36.000000,0.000000,-1.844314,-3.317976,1.706046,-0.539657,-2.848583,-6.367825,-12.827329,-5.467056,0.434156,12.666640,8.484072,-10.475434,7.986938,13.916201,-28.089611,-17.008492,-8.524861,-30.602423,-18.067532,-38.705475,-37.935123,-32.071301,-16.397320,-30.438646,21.976147,3.889941,-1.512918,-1.081274,-8.184690,11.211883,-2.760234,4.862838,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614073978.071450,37.000000,0.000000,-1.842470,-3.314658,-7.013608,-3.103220,-12.076504,-12.002482,-11.788860,-5.461589,-6.232945,-5.807565,3.860204,-15.593163,8.491771,1.081772,-3.958957,-6.222252,9.945202,-6.982076,-6.767413,-15.077025,-43.538212,-20.757177,-3.560410,-19.126156,19.902889,3.373230,10.796288,-1.080193,-8.176506,7.610927,-2.757474,-4.372794,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
